# ENG content_calendar rows 2026-09-19..2026-10-01 (status approved/pending), pulled 2026-09-25 ~4:05 PM CT from Supabase lasso-ops-portal (read-only)
# id | post_date | account | format | time_slot | slot_index | scheduled_at(UTC) | status | reject_reason(trunc) | source_media_asset_id
84921fa4-2bdd-4cbb-bb1a-d469e7671e07 | 2026-09-25 | instagram | feed | evening | 1 | 2026-09-25 22:30 | approved | - | 1KWqwxxOIkQxjco2cIDA3p4ft_-LhqiXF
f9fd0dbc-d415-4c9f-9879-6c075c0bf269 | 2026-09-25 | instagram | story | early_morning | 0 | 2026-09-25 16:30 | approved | media_asset_review_required | 1KOu-LBym_FLdYZgMB2eeOAo6_b8LpqEt
6884694b-647b-4835-b1d4-64d41628ab26 | 2026-09-25 | instagram | story | early_morning | 1 | 2026-09-25 16:30 | approved | media_asset_review_required | 1KWqwxxOIkQxjco2cIDA3p4ft_-LhqiXF
030d264c-f55e-422a-8075-09a526509daa | 2026-09-26 | facebook | feed | evening | 0 | - | approved | - | 1KyMLHofZY-J6LAXcRhfyJNlAYw9gvXUA
81b9c13b-0b37-41b5-a182-65ccf7ea2a33 | 2026-09-26 | facebook | feed | evening | 1 | - | approved | RESTORED (AUD-001) | 1KzqSt7rivUDlylPgSKNcchBsw-0-wcWN
efa91ac5-63c7-4e75-b822-c6fa34e7242e | 2026-09-26 | googlebusiness | update | evening | - | - | approved | - | -
332c8cc7-b3c8-4309-b29c-74b92b7321f7 | 2026-09-26 | instagram | feed | evening | 0 | - | approved | - | 1KyMLHofZY-J6LAXcRhfyJNlAYw9gvXUA
4cfd8c86-226a-4ece-890b-b7fb2ebca2de | 2026-09-26 | instagram | feed | evening | 1 | - | approved | RESTORED (AUD-001) | 1KzqSt7rivUDlylPgSKNcchBsw-0-wcWN
bcaec31c-aefb-42df-ab82-54e698ca692d | 2026-09-26 | instagram | story | early_morning | 0 | - | approved | RESTORED (AUD-001) | 1KyMLHofZY-J6LAXcRhfyJNlAYw9gvXUA
0c3cb1da-6410-44bb-9777-f336845d754c | 2026-09-26 | instagram | story | early_morning | 1 | - | approved | - | 1KzqSt7rivUDlylPgSKNcchBsw-0-wcWN
53947e19-1507-4c50-bbbb-3bbec90d7d28 | 2026-09-27 | facebook | feed | evening | 0 | - | approved | RESTORED (AUD-001) | 1L3LG8-Ef-DOmA6AUuTPkCF6lcOE5pgPg
3c54a244-856f-4f81-a951-7eb78ca7d1c4 | 2026-09-27 | facebook | feed | evening | 1 | - | approved | - | 1LAioP9G4jh5o2S9SixOryz1Yv1xxsCOD
9e6a32fd-edfb-4739-9ef8-b995bc9358d7 | 2026-09-27 | instagram | feed | evening | 0 | - | approved | - | 1L3LG8-Ef-DOmA6AUuTPkCF6lcOE5pgPg
ae81ef7d-fe4a-459e-9676-0e7e1c7981dc | 2026-09-27 | instagram | feed | evening | 1 | - | approved | RESTORED (AUD-001) | 1LAioP9G4jh5o2S9SixOryz1Yv1xxsCOD
c6dc93ba-418c-4a44-a418-e1bfa0b9ba43 | 2026-09-27 | instagram | story | early_morning | 0 | - | approved | RESTORED (AUD-001) | 1L3LG8-Ef-DOmA6AUuTPkCF6lcOE5pgPg
7499a64a-7c43-46a7-821d-0c763893d524 | 2026-09-27 | instagram | story | early_morning | 1 | - | approved | - | 1LAioP9G4jh5o2S9SixOryz1Yv1xxsCOD
1980621d-65d3-44d1-a9e0-f5d0a6e20103 | 2026-09-28 | facebook | feed | evening | 0 | - | approved | - | 1LIZl7HnzI_snUGEtZ-GNmFnn5HaVRqpz
680e58f8-93ff-4f9b-86a4-bbfadb80a7c2 | 2026-09-28 | facebook | feed | evening | 1 | - | approved | RESTORED (AUD-001) | 1LKh2znmh4T4OM9zfMYVT_VXzijcXcsq1
c10aada1-ff2b-476d-a910-18417ce677c0 | 2026-09-28 | instagram | feed | evening | 0 | - | approved | - | 1LIZl7HnzI_snUGEtZ-GNmFnn5HaVRqpz
e7a2dae5-a8c0-4268-bae6-5eea1d720362 | 2026-09-28 | instagram | feed | evening | 1 | - | approved | RESTORED (AUD-001) | 1LKh2znmh4T4OM9zfMYVT_VXzijcXcsq1
7300553b-d2af-4c78-abf1-7071e21c4302 | 2026-09-28 | instagram | story | early_morning | 0 | - | approved | - | 1LIZl7HnzI_snUGEtZ-GNmFnn5HaVRqpz
8382635a-3d5a-4bd9-9103-42ab57167c89 | 2026-09-28 | instagram | story | early_morning | 1 | - | approved | RESTORED (AUD-001) | 1LKh2znmh4T4OM9zfMYVT_VXzijcXcsq1
5e473a53-9c8e-4c6c-b036-53aaeb033997 | 2026-09-29 | facebook | feed | evening | 0 | - | pending | - | 1AM_R952sdKirpSipm0MnvRsWebGE8DLt
6dcf45af-b12a-4674-86a9-105cb19e4cfe | 2026-09-29 | googlebusiness | update | evening | - | - | pending | - | -
db275400-8202-41bf-ac9c-140a9ca5d937 | 2026-09-29 | instagram | feed | evening | - | - | pending | - | -
3b38495c-d5ca-40e1-9204-eedffd5cf937 | 2026-09-29 | instagram | story | early_morning | - | - | pending | - | -
43911246-a3e5-4c23-a78a-d1204905da85 | 2026-09-30 | facebook | feed | evening | - | - | pending | - | -
fc82bac7-dc88-4b59-b5ca-5c5d2f85f43d | 2026-09-30 | instagram | feed | evening | 0 | - | pending | publish_guard: multi_ask | 1EyMHiJU9AND8zRMmaoEBIbKcuT8nquFl
fd592056-f1d6-472b-9539-c8141eb1057e | 2026-09-30 | instagram | story | early_morning | - | - | pending | - | -
ad13192a-5b57-4011-ad29-53cc2f29763e | 2026-10-01 | facebook | feed | evening | 1 | - | pending | publish_guard: multi_ask | 1HdXBsirSUbImkfr_isjhn9pWTjUkHT61
998ca871-68e2-4626-9792-44bbb05140f4 | 2026-10-01 | instagram | feed | evening | 1 | - | pending | publish_guard: multi_ask | 1HdXBsirSUbImkfr_isjhn9pWTjUkHT61
